Host,Dopant,Eseg,fcc_facet,cn,pauly_eneg_host,pauly_eneg_dopant,diff_pauly_eneg,CEb_host,CEb_dopant,diff_CEb,diff_CEb/cn,gordy_eneg_host,gordy_eneg_dopant,diff_gordy_eneg,r_host,r_dopant,diff_r,EA_host,EA_dopant,diff_EA,IP_host,IP_dopant,diff_IP,CEb_host/CN,CEb_dopant/CN,CEb_host/sqrtCN,CEb_dopant/sqrtCN,diff_CEb/sqrtCN,CEb_host*CN,CEb_dopant*CN,diff_CEb*CN,density_host,density_dopant,diff_density,lattice_const_host,lattice_const_dopant,diff_lattice_const,dipole_polar_host,dipole_polar_dopant,diff_dipole_polar
Pd,Ag,-0.512,100,8,2.2,1.93,0.27000000000000024,-3.74,-2.52,-1.2200000000000002,-0.15250000000000002,0.054166667,0.026171875,0.027994792,1.69,1.65,0.040000000000000036,0.562,1.30199999999999,-0.73999999999999,8.33686,7.576234,0.7606259999999994,-0.4675,-0.315,-1.3222896808188438,-0.8909545442950498,-0.43133513652379396,-29.92,-20.16,-9.760000000000002,12.02,10.5,1.5199999999999996,3.89,4.09,-0.19999999999999973,26.14,55.0,-28.86
Pd,Au,-0.54,100,8,2.2,2.4,-0.19999999999999973,-3.74,-3.03,-0.7100000000000004,-0.08875000000000005,0.054166667,0.0270161290322581,0.027150537967741903,1.69,1.74,-0.050000000000000044,0.562,2.30863,-1.74663,8.33686,9.225553,-0.888693,-0.4675,-0.37875,-1.3222896808188438,-1.0712667734976193,-0.25102290732122445,-29.92,-24.24,-5.680000000000003,12.02,19.3,-7.280000000000001,3.89,4.08,-0.18999999999999995,26.14,36.0,-9.86
Rh,Ni,0.732,100,8,2.28,1.91,0.3699999999999999,-5.7,-4.68,-1.0200000000000005,-0.12750000000000006,0.0243999999999999,0.0336363636363636,-0.009236363636363702,1.73,1.49,0.24,1.137,1.156,-0.018999999999999906,7.4589,7.639877,-0.1809770000000004,-0.7125,-0.585,-2.0152543263816605,-1.654629867976521,-0.36062445840513946,-45.6,-37.44,-8.160000000000004,12.41,8.902,3.508000000000001,3.8,3.52,0.2799999999999998,66.0,49.0,17.0
Ir,Ni,0.0364,100,8,2.2,1.91,0.29000000000000026,-7.19,-4.68,-2.5100000000000007,-0.3137500000000001,0.0290983606557376,0.0336363636363636,-0.004538002980626003,1.8,1.49,0.31000000000000005,1.5638,1.156,0.40780000000000016,8.96702,7.639877,1.3271429999999995,-0.89875,-0.585,-2.5420488783656383,-1.654629867976521,-0.8874190103891173,-57.52,-37.44,-20.080000000000005,22.42,8.902,13.518000000000002,3.84,3.52,0.31999999999999984,54.0,49.0,5.0
Rh,Ir,0.942,100,8,2.28,2.2,0.07999999999999963,-5.7,-7.19,1.4900000000000002,0.18625000000000003,0.0243999999999999,0.0290983606557376,-0.004698360655737699,1.73,1.8,-0.07000000000000006,1.137,1.5638,-0.42680000000000007,7.4589,8.96702,-1.50812,-0.7125,-0.89875,-2.0152543263816605,-2.5420488783656383,0.5267945519839778,-45.6,-57.52,11.920000000000002,12.41,22.42,-10.010000000000002,3.8,3.84,-0.040000000000000036,66.0,54.0,12.0
Pt,Pd,0.321,100,8,2.2,2.2,0.0,-5.42,-3.74,-1.6799999999999997,-0.20999999999999996,0.0260162601626016,0.0541666666666666,-0.028150406504064997,1.77,1.69,0.08000000000000007,2.128,0.562,1.566,8.95883,8.33686,0.621970000000001,-0.6775,-0.4675,-1.9162593770155436,-1.3222896808188438,-0.5939696961966998,-43.36,-29.92,-13.439999999999998,21.45,12.02,9.43,3.92,3.89,0.029999999999999805,48.0,26.14,21.86
Ir,Ag,-1.61,100,8,2.2,1.93,0.27000000000000024,-7.19,-2.52,-4.67,-0.58375,0.0290983606557376,0.026171875,0.002926485655737599,1.8,1.65,0.15000000000000013,1.5638,1.30199999999999,0.26180000000001,8.96702,7.576234,1.3907859999999994,-0.89875,-0.315,-2.5420488783656383,-0.8909545442950498,-1.6510943340705886,-57.52,-20.16,-37.36,22.42,10.5,11.920000000000002,3.84,4.09,-0.25,54.0,55.0,-1.0
Pt,Ag,-0.219,100,8,2.2,1.93,0.27000000000000024,-5.42,-2.52,-2.9,-0.3625,0.0260162601626016,0.026171875,-0.00015561483739839899,1.77,1.65,0.1200000000000001,2.128,1.30199999999999,0.8260000000000101,8.95883,7.576234,1.3825960000000004,-0.6775,-0.315,-1.9162593770155436,-0.8909545442950498,-1.0253048327204937,-43.36,-20.16,-23.2,21.45,10.5,10.95,3.92,4.09,-0.16999999999999993,48.0,55.0,-7.0
Rh,Cu,0.156,100,8,2.28,1.9,0.3799999999999999,-5.7,-3.48,-2.22,-0.2775,0.0243999999999999,0.0299107142857142,-0.005510714285714299,1.73,1.45,0.28,1.137,1.235,-0.09800000000000009,7.4589,7.72638,-0.26747999999999994,-0.7125,-0.435,-2.0152543263816605,-1.2303657992645927,-0.7848885271170678,-45.6,-27.84,-17.76,12.41,8.96,3.4499999999999993,3.8,3.61,0.18999999999999995,66.0,46.5,19.5
Rh,Pd,-0.0593,100,8,2.28,2.2,0.07999999999999963,-5.7,-3.74,-1.96,-0.245,0.0243999999999999,0.0541666666666666,-0.029766666666666698,1.73,1.69,0.040000000000000036,1.137,0.562,0.575,7.4589,8.33686,-0.8779599999999999,-0.7125,-0.4675,-2.0152543263816605,-1.3222896808188438,-0.6929646455628167,-45.6,-29.92,-15.68,12.41,12.02,0.39000000000000057,3.8,3.89,-0.0900000000000003,66.0,26.14,39.86
